asset_id,model_id,serial_number,manufacture_year,acquisition_type,current_status,current_site,current_operator,total_engine_hours
EQX0001,MOD008,SYN-TH255C-00001,2025,RENTAL,AVAILABLE,SITE001,OP001,1349.3
EQX0002,MOD009,SYN-CB13-00002,2021,RENTAL,AVAILABLE,SITE002,OP002,6414.8
EQX0003,MOD010,SYN-420-00003,2022,RENTAL,ACTIVE,SITE002,OP044,3147.6
EQX0004,MOD001,SYN-320-00004,2025,RENTAL,AVAILABLE,SITE004,OP004,1997.4
EQX0005,MOD006,SYN-120-00005,2021,RENTAL,IDLE,SITE010,OP005,3260.3
EQX0006,MOD007,SYN-725-00006,2023,RENTAL,IDLE,SITE009,OP006,7023.4
EQX0007,MOD007,SYN-725-00007,2022,RENTAL,ACTIVE,SITE012,OP021,2139.0
EQX0008,MOD007,SYN-725-00008,2024,RENTAL,ACTIVE,SITE011,OP020,2508.1
EQX0009,MOD004,SYN-950-00009,2021,RENTAL,IDLE,SITE002,OP009,3545.5
EQX0010,MOD002,SYN-320GC-00010,2021,RENTAL,AVAILABLE,SITE010,OP010,734.8
EQX0011,MOD003,SYN-262D3-00011,2023,RENTAL,ACTIVE,SITE005,OP009,6630.3
EQX0012,MOD001,SYN-320-00012,2023,RENTAL,AVAILABLE,SITE012,OP012,2280.4
EQX0013,MOD008,SYN-TH255C-00013,2023,RENTAL,ACTIVE,SITE009,OP046,4665.2
EQX0014,MOD001,SYN-320-00014,2026,RENTAL,AVAILABLE,SITE014,OP014,4061.3
EQX0015,MOD002,SYN-320GC-00015,2023,RENTAL,IDLE,SITE009,OP015,7001.8
EQX0016,MOD010,SYN-420-00016,2023,RENTAL,ACTIVE,SITE015,OP009,1042.6
EQX0017,MOD004,SYN-950-00017,2023,RENTAL,ACTIVE,SITE009,OP010,2256.8
EQX0018,MOD002,SYN-320GC-00018,2026,RENTAL,ACTIVE,SITE006,OP014,4829.9
EQX0019,MOD002,SYN-320GC-00019,2021,RENTAL,ACTIVE,SITE008,OP017,873.8
EQX0020,MOD004,SYN-950-00020,2021,RENTAL,ACTIVE,SITE005,OP003,2635.0
EQX0021,MOD003,SYN-262D3-00021,2026,RENTAL,ACTIVE,SITE005,OP011,3425.4
EQX0022,MOD010,SYN-420-00022,2021,RENTAL,IDLE,SITE009,OP022,1016.7
EQX0023,MOD002,SYN-320GC-00023,2026,RENTAL,AVAILABLE,SITE008,OP023,6798.7
EQX0024,MOD003,SYN-262D3-00024,2025,RENTAL,ACTIVE,SITE014,OP024,4233.4
EQX0025,MOD001,SYN-320-00025,2023,RENTAL,ACTIVE,SITE001,OP020,6762.6
EQX0026,MOD009,SYN-CB13-00026,2021,RENTAL,MAINTENANCE,SITE011,OP026,6762.1
EQX0027,MOD005,SYN-D6-00027,2021,RENTAL,ACTIVE,SITE004,OP043,2781.9
EQX0028,MOD007,SYN-725-00028,2025,RENTAL,ACTIVE,SITE014,OP027,5671.2
EQX0029,MOD005,SYN-D6-00029,2022,RENTAL,AVAILABLE,SITE014,OP029,6511.6
EQX0030,MOD004,SYN-950-00030,2022,RENTAL,AVAILABLE,SITE015,OP030,6634.3
EQX0031,MOD005,SYN-D6-00031,2023,RENTAL,ACTIVE,SITE012,OP060,5911.4
EQX0032,MOD005,SYN-D6-00032,2026,RENTAL,ACTIVE,SITE011,OP056,6118.5
EQX0033,MOD009,SYN-CB13-00033,2021,RENTAL,ACTIVE,SITE013,OP045,2992.6
EQX0034,MOD001,SYN-320-00034,2022,RENTAL,ACTIVE,SITE008,OP015,6161.1
EQX0035,MOD006,SYN-120-00035,2022,RENTAL,ACTIVE,SITE005,OP053,1827.3
EQX0036,MOD007,SYN-725-00036,2023,RENTAL,IDLE,SITE007,OP036,2233.8
EQX0037,MOD009,SYN-CB13-00037,2023,RENTAL,ACTIVE,SITE013,OP018,4882.8
EQX0038,MOD004,SYN-950-00038,2023,RENTAL,ACTIVE,SITE014,OP035,7056.4
EQX0039,MOD004,SYN-950-00039,2025,RENTAL,ACTIVE,SITE005,OP012,7226.5
EQX0040,MOD003,SYN-262D3-00040,2024,RENTAL,ACTIVE,SITE002,OP039,2723.5
EQX0041,MOD006,SYN-120-00041,2024,RENTAL,MAINTENANCE,SITE011,OP041,4625.3
EQX0042,MOD003,SYN-262D3-00042,2025,RENTAL,ACTIVE,SITE007,OP058,1587.6
EQX0043,MOD002,SYN-320GC-00043,2025,RENTAL,ACTIVE,SITE007,OP001,6956.7
EQX0044,MOD001,SYN-320-00044,2026,RENTAL,ACTIVE,SITE012,OP048,5095.6
EQX0045,MOD003,SYN-262D3-00045,2023,RENTAL,ACTIVE,SITE002,OP043,4749.0
EQX0046,MOD006,SYN-120-00046,2026,RENTAL,IDLE,SITE002,OP046,6770.3
EQX0047,MOD008,SYN-TH255C-00047,2023,RENTAL,ACTIVE,SITE011,OP027,3137.5
EQX0048,MOD003,SYN-262D3-00048,2024,RENTAL,ACTIVE,SITE003,OP013,5054.0
EQX0049,MOD002,SYN-320GC-00049,2022,RENTAL,ACTIVE,SITE012,OP058,4693.3
EQX0050,MOD009,SYN-CB13-00050,2021,RENTAL,ACTIVE,SITE009,OP054,2418.3
EQX0051,MOD007,SYN-725-00051,2025,RENTAL,ACTIVE,SITE013,OP038,4979.4
EQX0052,MOD005,SYN-D6-00052,2022,RENTAL,ACTIVE,SITE008,OP044,3931.6
EQX0053,MOD006,SYN-120-00053,2026,RENTAL,MAINTENANCE,SITE008,OP053,1438.7
EQX0054,MOD002,SYN-320GC-00054,2026,RENTAL,ACTIVE,SITE009,OP043,4720.6
EQX0055,MOD002,SYN-320GC-00055,2026,RENTAL,ACTIVE,SITE013,OP016,2466.1
EQX0056,MOD003,SYN-262D3-00056,2022,RENTAL,MAINTENANCE,SITE011,OP056,378.3
EQX0057,MOD008,SYN-TH255C-00057,2021,RENTAL,ACTIVE,SITE008,OP040,3524.5
EQX0058,MOD003,SYN-262D3-00058,2025,RENTAL,AVAILABLE,SITE013,OP058,1619.4
EQX0059,MOD010,SYN-420-00059,2024,RENTAL,IDLE,SITE008,OP059,1981.1
EQX0060,MOD004,SYN-950-00060,2021,RENTAL,IDLE,SITE001,OP060,5882.5
EQX0061,MOD003,SYN-262D3-00061,2025,RENTAL,ACTIVE,SITE013,OP045,3591.2
EQX0062,MOD003,SYN-262D3-00062,2021,RENTAL,ACTIVE,SITE015,OP055,3532.2
EQX0063,MOD001,SYN-320-00063,2026,RENTAL,MAINTENANCE,SITE003,OP003,4077.3
EQX0064,MOD004,SYN-950-00064,2024,RENTAL,ACTIVE,SITE006,OP049,4672.4
EQX0065,MOD010,SYN-420-00065,2024,RENTAL,IDLE,SITE009,OP005,6263.2
EQX0066,MOD002,SYN-320GC-00066,2026,RENTAL,ACTIVE,SITE015,OP011,6488.9
EQX0067,MOD003,SYN-262D3-00067,2026,RENTAL,ACTIVE,SITE013,OP016,2224.4
EQX0068,MOD004,SYN-950-00068,2024,RENTAL,MAINTENANCE,SITE008,OP008,4775.3
EQX0069,MOD003,SYN-262D3-00069,2023,RENTAL,ACTIVE,SITE002,OP046,1911.8
EQX0070,MOD009,SYN-CB13-00070,2021,RENTAL,ACTIVE,SITE015,OP035,1210.1
EQX0071,MOD004,SYN-950-00071,2026,RENTAL,ACTIVE,SITE012,OP010,1761.9
EQX0072,MOD003,SYN-262D3-00072,2024,RENTAL,ACTIVE,SITE006,OP035,3235.2
EQX0073,MOD008,SYN-TH255C-00073,2025,RENTAL,ACTIVE,SITE007,OP025,7106.3
EQX0074,MOD010,SYN-420-00074,2025,RENTAL,ACTIVE,SITE015,OP049,2976.8
EQX0075,MOD003,SYN-262D3-00075,2024,RENTAL,ACTIVE,SITE006,OP020,6430.2
EQX0076,MOD008,SYN-TH255C-00076,2024,RENTAL,AVAILABLE,SITE001,OP016,4129.0
EQX0077,MOD010,SYN-420-00077,2025,RENTAL,IDLE,SITE013,OP017,6754.0
EQX0078,MOD007,SYN-725-00078,2024,RENTAL,ACTIVE,SITE005,OP028,411.9
EQX0079,MOD003,SYN-262D3-00079,2024,RENTAL,ACTIVE,SITE011,OP052,5486.5
EQX0080,MOD004,SYN-950-00080,2022,RENTAL,AVAILABLE,SITE005,OP020,7359.3
EQX0081,MOD009,SYN-CB13-00081,2025,RENTAL,ACTIVE,SITE015,OP026,4320.1
EQX0082,MOD010,SYN-420-00082,2022,RENTAL,ACTIVE,SITE011,OP028,6528.0
EQX0083,MOD007,SYN-725-00083,2023,RENTAL,ACTIVE,SITE005,OP025,1745.1
EQX0084,MOD004,SYN-950-00084,2024,RENTAL,ACTIVE,SITE013,OP057,2231.3
EQX0085,MOD004,SYN-950-00085,2024,RENTAL,AVAILABLE,SITE010,OP025,2041.6
EQX0086,MOD005,SYN-D6-00086,2025,RENTAL,ACTIVE,SITE001,OP048,580.2
EQX0087,MOD006,SYN-120-00087,2022,RENTAL,AVAILABLE,SITE012,OP027,4946.1
EQX0088,MOD006,SYN-120-00088,2026,RENTAL,MAINTENANCE,SITE013,OP028,493.9
EQX0089,MOD002,SYN-320GC-00089,2021,RENTAL,ACTIVE,SITE004,OP013,4735.8
EQX0090,MOD001,SYN-320-00090,2021,RENTAL,ACTIVE,SITE008,OP043,4317.0
