maintenance_id,asset_id,timestamp,maintenance_type,engine_hours,fault_code,downtime_hours,severity
MNT00001,EQX0059,2026-03-15T00:00:00,INSPECTION,1491.3,TEMP_HIGH,16.5,MEDIUM
MNT00002,EQX0037,2026-03-24T00:00:00,REPAIR,2267.7,NONE,29.9,LOW
MNT00003,EQX0012,2025-01-17T00:00:00,REPAIR,7007.2,NONE,15.1,HIGH
MNT00004,EQX0119,2026-07-12T00:00:00,PREVENTIVE,4824.7,NONE,20.2,MEDIUM
MNT00005,EQX0028,2025-08-17T00:00:00,INSPECTION,4226.6,NONE,6.3,MEDIUM
MNT00006,EQX0016,2025-12-26T00:00:00,INSPECTION,3214.4,BATTERY_LOW,0.7,MEDIUM
MNT00007,EQX0101,2025-08-18T00:00:00,REPAIR,2270.3,OIL_PRESSURE,9.6,MEDIUM
MNT00008,EQX0087,2025-09-05T00:00:00,PREVENTIVE,6771.4,BATTERY_LOW,1.5,LOW
MNT00009,EQX0020,2026-01-19T00:00:00,REPAIR,6186.3,OIL_PRESSURE,10.4,HIGH
MNT00010,EQX0056,2025-09-05T00:00:00,REPAIR,7306.5,TEMP_HIGH,18.7,MEDIUM
MNT00011,EQX0107,2025-02-22T00:00:00,REPAIR,3332.4,BATTERY_LOW,29.3,LOW
MNT00012,EQX0052,2025-11-22T00:00:00,REPAIR,1356.6,TEMP_HIGH,3.4,LOW
MNT00013,EQX0065,2025-05-02T00:00:00,REPAIR,4411.6,BATTERY_LOW,25.4,HIGH
MNT00014,EQX0118,2025-09-24T00:00:00,REPAIR,1361.1,OIL_PRESSURE,6.5,LOW
MNT00015,EQX0004,2026-03-24T00:00:00,PREVENTIVE,4790.9,TEMP_HIGH,1.3,HIGH
MNT00016,EQX0070,2025-03-22T00:00:00,REPAIR,2991.6,TEMP_HIGH,29.5,HIGH
MNT00017,EQX0081,2026-01-02T00:00:00,PREVENTIVE,1950.0,TEMP_HIGH,9.3,HIGH
MNT00018,EQX0108,2025-09-09T00:00:00,REPAIR,5894.2,BATTERY_LOW,23.2,HIGH
MNT00019,EQX0007,2025-10-09T00:00:00,PREVENTIVE,7025.3,NONE,19.3,HIGH
MNT00020,EQX0111,2025-04-16T00:00:00,PREVENTIVE,3551.6,NONE,3.7,MEDIUM
MNT00021,EQX0034,2025-07-04T00:00:00,PREVENTIVE,764.9,OIL_PRESSURE,27.4,LOW
MNT00022,EQX0051,2025-04-14T00:00:00,INSPECTION,6006.7,BATTERY_LOW,2.7,HIGH
MNT00023,EQX0010,2025-08-04T00:00:00,REPAIR,3265.3,OIL_PRESSURE,19.2,MEDIUM
