rental_id,asset_id,site_id,operator_id,check_out_date,expected_return_date,actual_return_date,rental_days,synthetic_daily_rate,rental_status
RNT00001,EQX0013,SITE014,OP013,2025-10-31,2025-11-07,,7,638.32,ACTIVE
RNT00002,EQX0039,SITE001,OP046,2026-07-01,2026-07-08,,7,528.38,ACTIVE
RNT00003,EQX0007,SITE009,OP019,2025-05-10,2025-06-24,,45,1282.95,ACTIVE
RNT00004,EQX0063,SITE002,OP056,2025-01-13,2025-02-12,,30,541.11,ACTIVE
RNT00005,EQX0062,SITE008,OP022,2025-07-08,2025-07-11,,3,500.65,ACTIVE
RNT00006,EQX0111,SITE008,OP008,2025-03-08,2025-03-29,,21,804.52,ACTIVE
RNT00007,EQX0074,SITE011,OP044,2025-02-24,2025-03-03,,7,369.48,ACTIVE
RNT00008,EQX0073,SITE005,OP006,2025-09-12,2025-09-15,,3,888.75,ACTIVE
RNT00009,EQX0054,SITE010,OP039,2025-08-20,2025-10-19,,60,843.67,ACTIVE
RNT00010,EQX0058,SITE015,OP029,2025-11-01,2025-12-31,,60,927.43,ACTIVE
RNT00011,EQX0055,SITE005,OP037,2025-03-03,2025-04-02,,30,1399.34,ACTIVE
RNT00012,EQX0013,SITE013,OP014,2025-08-05,2025-08-19,,14,1018.74,ACTIVE
RNT00013,EQX0021,SITE004,OP012,2026-07-20,2026-07-23,,3,378.8,ACTIVE
RNT00014,EQX0053,SITE008,OP045,2026-04-27,2026-05-11,,14,221.45,ACTIVE
RNT00015,EQX0037,SITE012,OP019,2026-04-10,2026-04-13,,3,1052.98,ACTIVE
RNT00016,EQX0119,SITE005,OP051,2025-07-22,2025-08-12,,21,325.77,ACTIVE
RNT00017,EQX0029,SITE011,OP010,2025-09-30,2025-11-29,,60,360.64,ACTIVE
RNT00018,EQX0008,SITE003,OP051,2025-11-11,2025-12-11,,30,1131.18,ACTIVE
RNT00019,EQX0073,SITE015,OP019,2026-03-26,2026-03-29,,3,775.25,ACTIVE
RNT00020,EQX0039,SITE012,OP026,2025-10-06,2025-11-05,,30,865.78,ACTIVE
RNT00021,EQX0057,SITE002,OP039,2025-02-10,2025-03-03,,21,1112.86,ACTIVE
RNT00022,EQX0078,SITE005,OP002,2025-04-04,2025-04-11,,7,1401.63,ACTIVE
RNT00023,EQX0108,SITE014,OP037,2025-01-22,2025-03-23,,60,1033.8,ACTIVE
RNT00024,EQX0035,SITE010,OP003,2025-06-29,2025-07-20,,21,839.08,ACTIVE
RNT00025,EQX0057,SITE015,OP018,2025-07-05,2025-08-04,,30,733.57,ACTIVE
RNT00026,EQX0105,SITE008,OP006,2026-04-27,2026-05-11,,14,698.6,ACTIVE
RNT00027,EQX0042,SITE011,OP007,2025-06-14,2025-06-28,,14,702.79,ACTIVE
RNT00028,EQX0064,SITE005,OP043,2026-02-15,2026-04-16,,60,1145.83,ACTIVE
RNT00029,EQX0005,SITE008,OP006,2025-11-19,2025-12-03,,14,590.56,ACTIVE
RNT00030,EQX0099,SITE007,OP056,2026-06-11,2026-08-10,,60,1434.91,ACTIVE
RNT00031,EQX0085,SITE014,OP035,2026-04-19,2026-05-10,,21,248.84,ACTIVE
RNT00032,EQX0067,SITE006,OP040,2026-05-26,2026-07-10,,45,741.39,ACTIVE
RNT00033,EQX0007,SITE004,OP018,2026-07-17,2026-07-24,,7,1358.14,ACTIVE
RNT00034,EQX0057,SITE015,OP045,2026-05-12,2026-05-15,,3,216.66,ACTIVE
RNT00035,EQX0081,SITE010,OP052,2025-09-03,2025-10-18,,45,381.14,ACTIVE
RNT00036,EQX0071,SITE001,OP036,2026-02-22,2026-02-25,,3,465.37,ACTIVE
RNT00037,EQX0108,SITE015,OP008,2026-04-18,2026-04-21,,3,1002.59,ACTIVE
RNT00038,EQX0020,SITE008,OP060,2025-10-26,2025-11-25,,30,1075.87,ACTIVE
RNT00039,EQX0054,SITE014,OP031,2026-04-29,2026-05-06,,7,760.12,ACTIVE
RNT00040,EQX0019,SITE007,OP013,2026-06-05,2026-07-20,,45,1296.74,ACTIVE
RNT00041,EQX0111,SITE002,OP018,2026-03-01,2026-03-15,,14,1366.5,ACTIVE
RNT00042,EQX0065,SITE005,OP053,2025-01-03,2025-01-17,,14,1102.08,ACTIVE
RNT00043,EQX0108,SITE010,OP038,2026-05-17,2026-07-16,,60,368.72,ACTIVE
RNT00044,EQX0069,SITE008,OP023,2025-12-07,2026-01-06,,30,1148.85,ACTIVE
