date,site_id,equipment_category,requested_units,allocated_units,utilisation_pct
2026-01-01,SITE012,Telehandler,4,4,81.3
2026-01-01,SITE007,Skid Steer Loader,1,1,90.1
2026-01-01,SITE011,Backhoe Loader,3,3,71.1
2026-01-01,SITE004,Excavator,3,3,66.9
2026-01-01,SITE014,Dozer,1,0,83.6
2026-01-02,SITE015,Excavator,3,3,52.3
2026-01-02,SITE006,Motor Grader,1,0,78.2
2026-01-02,SITE010,Motor Grader,3,2,96.5
2026-01-02,SITE011,Articulated Truck,1,1,70.8
2026-01-02,SITE013,Backhoe Loader,2,2,100.0
2026-01-03,SITE010,Compactor,3,3,100.0
2026-01-03,SITE003,Compactor,7,7,92.3
2026-01-03,SITE005,Skid Steer Loader,1,1,65.9
2026-01-03,SITE014,Backhoe Loader,3,2,73.0
2026-01-03,SITE009,Wheel Loader,3,3,85.0
2026-01-04,SITE002,Motor Grader,2,2,88.7
2026-01-04,SITE006,Telehandler,1,1,82.0
2026-01-04,SITE001,Motor Grader,1,1,89.7
2026-01-04,SITE003,Backhoe Loader,3,3,77.1
2026-01-04,SITE008,Telehandler,3,3,90.0
2026-01-05,SITE006,Compactor,4,4,61.0
2026-01-05,SITE012,Dozer,3,3,90.5
2026-01-05,SITE008,Excavator,2,2,68.3
2026-01-05,SITE003,Wheel Loader,7,7,72.0
2026-01-05,SITE009,Compactor,3,3,73.3
2026-01-06,SITE003,Compactor,2,2,60.4
2026-01-06,SITE012,Compactor,2,2,73.9
2026-01-06,SITE008,Backhoe Loader,4,3,82.4
2026-01-06,SITE007,Compactor,4,3,92.7
2026-01-06,SITE002,Skid Steer Loader,1,1,100.0
2026-01-07,SITE002,Wheel Loader,2,2,82.1
2026-01-07,SITE006,Backhoe Loader,3,3,77.9
2026-01-07,SITE015,Dozer,5,5,72.1
2026-01-07,SITE004,Backhoe Loader,1,1,89.1
2026-01-07,SITE005,Telehandler,2,2,59.4
2026-01-08,SITE004,Articulated Truck,3,3,78.8
2026-01-08,SITE013,Motor Grader,2,2,73.7
2026-01-08,SITE008,Telehandler,4,4,84.7
2026-01-08,SITE011,Skid Steer Loader,3,3,63.2
2026-01-08,SITE002,Wheel Loader,5,5,62.2
2026-01-09,SITE002,Compactor,3,3,81.5
2026-01-09,SITE008,Excavator,1,1,69.4
2026-01-09,SITE012,Excavator,3,2,100.0
2026-01-09,SITE011,Articulated Truck,3,3,66.5
2026-01-09,SITE014,Dozer,3,3,61.6
2026-01-10,SITE013,Skid Steer Loader,5,4,82.7
2026-01-10,SITE011,Skid Steer Loader,3,2,80.4
2026-01-10,SITE005,Motor Grader,1,1,89.7
2026-01-10,SITE006,Dozer,5,4,97.7
2026-01-10,SITE001,Skid Steer Loader,5,5,77.1
2026-01-11,SITE014,Motor Grader,4,4,80.8
2026-01-11,SITE004,Skid Steer Loader,4,4,68.3
2026-01-11,SITE003,Compactor,4,3,95.7
2026-01-11,SITE007,Motor Grader,8,8,81.1
2026-01-11,SITE012,Articulated Truck,1,1,72.2
2026-01-12,SITE014,Compactor,3,2,93.0
2026-01-12,SITE006,Compactor,1,1,67.3
2026-01-12,SITE009,Telehandler,4,4,74.0
2026-01-12,SITE004,Telehandler,1,1,100.0
2026-01-12,SITE008,Wheel Loader,5,4,99.6
2026-01-13,SITE011,Articulated Truck,1,0,98.1
2026-01-13,SITE007,Dozer,2,2,88.4
2026-01-13,SITE002,Compactor,4,4,100.0
2026-01-13,SITE001,Motor Grader,2,1,100.0
2026-01-13,SITE009,Telehandler,1,1,75.2
2026-01-14,SITE015,Wheel Loader,1,1,100.0
2026-01-14,SITE013,Dozer,2,1,100.0
2026-01-14,SITE008,Motor Grader,1,1,60.8
2026-01-14,SITE005,Backhoe Loader,5,5,80.4
2026-01-14,SITE003,Excavator,1,1,70.8
2026-01-15,SITE009,Motor Grader,5,5,86.2
2026-01-15,SITE007,Motor Grader,4,4,78.9
2026-01-15,SITE014,Backhoe Loader,1,1,81.4
2026-01-15,SITE002,Skid Steer Loader,1,0,84.5
2026-01-15,SITE008,Wheel Loader,1,1,70.9
2026-01-16,SITE014,Motor Grader,3,3,88.2
2026-01-16,SITE007,Compactor,3,2,100.0
2026-01-16,SITE001,Motor Grader,4,4,85.3
2026-01-16,SITE002,Wheel Loader,5,5,78.1
2026-01-16,SITE015,Wheel Loader,4,4,89.2
2026-01-17,SITE012,Telehandler,2,2,100.0
2026-01-17,SITE010,Excavator,2,1,100.0
2026-01-17,SITE005,Skid Steer Loader,4,4,69.6
2026-01-17,SITE011,Wheel Loader,4,3,91.9
2026-01-17,SITE002,Compactor,3,2,94.9
2026-01-18,SITE014,Motor Grader,2,2,71.9
2026-01-18,SITE011,Telehandler,1,1,91.9
2026-01-18,SITE012,Skid Steer Loader,4,4,72.3
2026-01-18,SITE010,Wheel Loader,4,4,74.4
2026-01-18,SITE008,Dozer,1,1,77.9
2026-01-19,SITE014,Dozer,1,0,100.0
2026-01-19,SITE001,Wheel Loader,5,5,87.3
2026-01-19,SITE012,Telehandler,1,1,78.8
2026-01-19,SITE004,Skid Steer Loader,2,2,89.8
2026-01-19,SITE015,Compactor,6,6,76.7
2026-01-20,SITE008,Wheel Loader,2,1,100.0
2026-01-20,SITE007,Compactor,3,2,96.1
2026-01-20,SITE001,Excavator,3,2,100.0
2026-01-20,SITE002,Dozer,8,8,77.1
2026-01-20,SITE003,Motor Grader,4,3,88.6
2026-01-21,SITE001,Telehandler,5,4,92.1
2026-01-21,SITE006,Compactor,5,5,78.6
2026-01-21,SITE015,Excavator,5,4,96.0
2026-01-21,SITE002,Telehandler,6,5,83.0
2026-01-21,SITE011,Backhoe Loader,2,1,99.7
2026-01-22,SITE004,Telehandler,2,2,94.4
2026-01-22,SITE012,Backhoe Loader,1,1,90.7
2026-01-22,SITE001,Motor Grader,4,3,70.9
2026-01-22,SITE009,Compactor,5,5,77.8
2026-01-22,SITE013,Compactor,4,4,87.6
2026-01-23,SITE008,Motor Grader,2,2,64.8
2026-01-23,SITE012,Compactor,4,4,83.9
2026-01-23,SITE007,Compactor,1,1,71.6
2026-01-23,SITE001,Backhoe Loader,1,1,68.5
2026-01-23,SITE003,Articulated Truck,2,1,92.7
2026-01-24,SITE003,Telehandler,1,1,50.6
2026-01-24,SITE005,Compactor,2,2,76.7
2026-01-24,SITE012,Dozer,3,3,75.3
2026-01-24,SITE013,Skid Steer Loader,3,2,100.0
2026-01-24,SITE007,Wheel Loader,1,1,75.0
2026-01-25,SITE004,Telehandler,4,3,90.5
2026-01-25,SITE003,Motor Grader,2,2,66.5
2026-01-25,SITE010,Dozer,1,1,65.3
2026-01-25,SITE008,Excavator,1,1,70.1
2026-01-25,SITE002,Motor Grader,5,5,100.0
2026-01-26,SITE011,Skid Steer Loader,2,2,90.2
2026-01-26,SITE003,Telehandler,3,3,61.2
2026-01-26,SITE014,Dozer,1,1,84.8
2026-01-26,SITE009,Backhoe Loader,1,1,70.9
2026-01-26,SITE001,Compactor,2,2,67.6
2026-01-27,SITE006,Motor Grader,3,3,82.7
2026-01-27,SITE013,Backhoe Loader,3,3,77.0
2026-01-27,SITE015,Excavator,5,4,85.2
2026-01-27,SITE001,Compactor,3,3,66.0
2026-01-27,SITE009,Skid Steer Loader,3,3,100.0
2026-01-28,SITE014,Wheel Loader,1,1,58.7
2026-01-28,SITE009,Dozer,1,1,70.8
2026-01-28,SITE001,Wheel Loader,5,5,87.1
2026-01-28,SITE015,Compactor,6,5,93.0
2026-01-28,SITE002,Skid Steer Loader,4,4,76.1
2026-01-29,SITE011,Dozer,1,0,98.5
2026-01-29,SITE006,Telehandler,5,5,90.4
2026-01-29,SITE014,Dozer,3,2,73.0
2026-01-29,SITE003,Articulated Truck,5,5,78.2
2026-01-29,SITE002,Backhoe Loader,3,3,84.1
2026-01-30,SITE002,Articulated Truck,4,4,93.0
2026-01-30,SITE005,Wheel Loader,2,1,100.0
2026-01-30,SITE006,Dozer,3,3,82.8
2026-01-30,SITE012,Telehandler,2,1,86.7
2026-01-30,SITE007,Telehandler,5,4,96.5
2026-01-31,SITE014,Excavator,2,1,94.0
2026-01-31,SITE009,Wheel Loader,3,3,88.0
2026-01-31,SITE013,Backhoe Loader,3,3,99.4
2026-01-31,SITE011,Skid Steer Loader,4,4,85.1
2026-01-31,SITE006,Articulated Truck,5,4,92.7
2026-02-01,SITE013,Excavator,2,2,91.1
2026-02-01,SITE003,Excavator,2,2,65.9
2026-02-01,SITE007,Telehandler,4,3,72.1
2026-02-01,SITE001,Backhoe Loader,2,2,75.1
2026-02-01,SITE015,Articulated Truck,4,4,74.7
2026-02-02,SITE001,Wheel Loader,1,0,79.8
2026-02-02,SITE014,Compactor,3,3,84.2
2026-02-02,SITE005,Backhoe Loader,3,2,82.6
2026-02-02,SITE009,Articulated Truck,2,1,100.0
2026-02-02,SITE010,Dozer,1,1,100.0
2026-02-03,SITE002,Wheel Loader,2,2,64.7
2026-02-03,SITE001,Dozer,4,4,81.5
2026-02-03,SITE009,Backhoe Loader,4,4,74.9
2026-02-03,SITE006,Backhoe Loader,1,1,83.8
2026-02-03,SITE007,Wheel Loader,1,1,68.7
2026-02-04,SITE001,Dozer,2,2,71.7
2026-02-04,SITE013,Telehandler,2,2,83.9
2026-02-04,SITE009,Excavator,4,4,65.0
2026-02-04,SITE010,Motor Grader,2,2,85.4
2026-02-04,SITE005,Skid Steer Loader,1,1,58.0
2026-02-05,SITE013,Excavator,4,3,100.0
2026-02-05,SITE011,Articulated Truck,3,3,53.0
2026-02-05,SITE002,Backhoe Loader,3,3,98.4
2026-02-05,SITE008,Articulated Truck,5,5,81.7
2026-02-05,SITE005,Motor Grader,2,2,57.5
2026-02-06,SITE012,Skid Steer Loader,4,4,80.4
2026-02-06,SITE007,Backhoe Loader,4,4,66.3
2026-02-06,SITE009,Articulated Truck,1,0,95.1
2026-02-06,SITE015,Skid Steer Loader,4,4,89.8
2026-02-06,SITE004,Telehandler,2,1,98.2
2026-02-07,SITE002,Compactor,2,2,69.3
2026-02-07,SITE015,Compactor,2,2,66.3
2026-02-07,SITE001,Articulated Truck,5,4,100.0
2026-02-07,SITE007,Backhoe Loader,1,0,99.3
2026-02-07,SITE003,Motor Grader,1,0,73.8
2026-02-08,SITE011,Telehandler,3,3,80.2
2026-02-08,SITE007,Wheel Loader,3,3,74.0
2026-02-08,SITE008,Compactor,5,4,76.2
