site_id,site_name,site_type,latitude,longitude,status
SITE001,Demo Site 01,Mining,13.0827,80.2707,ACTIVE
SITE002,Demo Site 02,Quarry,11.0168,76.9558,ACTIVE
SITE003,Demo Site 03,Mining,9.9252,78.1198,ACTIVE
SITE004,Demo Site 04,Residential,12.862612,78.789392,ACTIVE
SITE005,Demo Site 05,Construction,11.6643,78.1460,ACTIVE
SITE006,Demo Site 06,Mining,13.6288,79.4192,ACTIVE
SITE007,Demo Site 07,Quarry,12.9165,79.1325,ACTIVE
SITE008,Demo Site 08,Residential,13.792633,78.719496,ACTIVE
SITE009,Demo Site 09,Construction,13.525535,79.720752,ACTIVE
SITE010,Demo Site 10,Mining,12.9716,79.3010,ACTIVE
SITE011,Demo Site 11,Quarry,12.07259,78.990149,ACTIVE
SITE012,Demo Site 12,Construction,14.4426,79.9865,ACTIVE
SITE013,Demo Site 13,Residential,12.95262,79.074478,ACTIVE
SITE014,Demo Site 14,Mining,12.03912,79.579535,ACTIVE
SITE015,Demo Site 15,Quarry,12.8342,79.7036,ACTIVE
